iter	Passed	Remaining
0	150	150840
1	160	80304
2	169	56493
3	179	44684
4	189	37719
5	199	33120
6	208	29608
7	217	26972
8	226	24912
9	235	23274
10	243	21931
11	252	20826
12	262	19925
13	271	19123
14	280	18451
15	289	17812
16	298	17267
17	307	16775
18	316	16346
19	325	15941
20	334	15573
21	343	15291
22	353	15028
23	363	14796
24	376	14681
25	386	14479
26	396	14293
27	406	14112
28	416	13939
29	426	13786
30	434	13596
31	444	13439
32	455	13358
33	465	13222
34	474	13088
35	483	12945
36	492	12815
37	501	12694
38	510	12576
39	519	12474
40	528	12361
41	537	12266
42	546	12162
43	555	12065
44	564	11986
45	573	11896
46	582	11815
47	591	11732
48	608	11800
49	621	11801
50	630	11740
51	641	11689
52	651	11637
53	661	11583
54	671	11531
55	681	11484
56	691	11443
57	702	11403
58	711	11353
59	721	11305
60	731	11264
61	741	11223
62	749	11145
63	755	11043
64	760	10936
65	764	10822
66	769	10711
67	773	10605
68	778	10502
69	783	10405
70	787	10307
71	792	10211
72	796	10117
73	801	10025
74	805	9938
75	810	9855
76	815	9775
77	820	9697
78	825	9621
79	830	9549
80	835	9479
81	840	9408
82	845	9339
83	849	9267
84	855	9210
85	860	9147
86	866	9088
87	871	9030
88	876	8974
89	882	8919
90	888	8870
91	893	8816
92	898	8764
93	903	8711
94	908	8659
95	913	8606
96	919	8555
97	924	8506
98	929	8459
99	934	8412
100	938	8355
101	942	8300
102	946	8240
103	949	8181
104	952	8122
105	955	8062
106	959	8004
107	961	7943
108	964	7882
109	966	7822
110	969	7761
111	970	7697
112	973	7638
113	975	7583
114	978	7527
115	980	7472
116	982	7412
117	984	7359
118	987	7307
119	989	7254
120	991	7202
121	993	7152
122	996	7103
123	998	7055
124	1001	7008
125	1003	6961
126	1006	6915
127	1008	6869
128	1010	6825
129	1012	6772
130	1014	6727
131	1016	6683
132	1018	6639
133	1020	6596
134	1022	6552
135	1024	6509
136	1026	6467
137	1028	6425
138	1030	6385
139	1033	6345
140	1035	6306
141	1037	6268
142	1042	6248
143	1044	6209
144	1046	6172
145	1048	6134
146	1050	6097
147	1052	6060
148	1054	6024
149	1056	5985
150	1058	5949
151	1060	5914
152	1062	5880
153	1064	5846
154	1066	5812
155	1068	5778
156	1070	5745
157	1072	5713
158	1074	5681
159	1076	5650
160	1078	5619
161	1080	5588
162	1082	5557
163	1084	5527
164	1086	5498
165	1088	5469
166	1090	5439
167	1092	5410
168	1094	5381
169	1096	5353
170	1098	5325
171	1100	5298
172	1102	5271
173	1104	5244
174	1106	5218
175	1108	5191
176	1110	5165
177	1112	5139
178	1114	5113
179	1116	5088
180	1118	5063
181	1120	5038
182	1122	5013
183	1124	4988
184	1126	4964
185	1129	4941
186	1131	4918
187	1133	4895
188	1135	4872
189	1137	4849
190	1139	4827
191	1141	4804
192	1143	4783
193	1146	4762
194	1148	4739
195	1150	4718
196	1152	4696
197	1154	4675
198	1156	4653
199	1158	4633
200	1160	4613
201	1162	4592
202	1164	4572
203	1166	4553
204	1168	4532
205	1170	4512
206	1172	4493
207	1175	4474
208	1177	4455
209	1179	4437
210	1181	4419
211	1184	4400
212	1186	4382
213	1188	4365
214	1190	4347
215	1193	4330
216	1195	4313
217	1197	4296
218	1200	4279
219	1202	4263
220	1204	4246
221	1207	4230
222	1209	4213
223	1211	4197
224	1213	4181
225	1216	4165
226	1218	4149
227	1220	4133
228	1223	4117
229	1225	4102
230	1227	4087
231	1229	4071
232	1232	4056
233	1234	4042
234	1237	4027
235	1239	4012
236	1241	3997
237	1243	3982
238	1246	3967
239	1248	3953
240	1250	3938
241	1252	3924
242	1255	3910
243	1257	3896
244	1259	3882
245	1262	3868
246	1264	3854
247	1266	3841
248	1268	3827
249	1271	3813
250	1273	3799
251	1275	3786
252	1277	3773
253	1280	3760
254	1282	3747
255	1284	3734
256	1287	3721
257	1289	3709
258	1292	3697
259	1295	3685
260	1297	3673
261	1299	3661
262	1302	3650
263	1304	3637
264	1307	3626
265	1309	3614
266	1312	3602
267	1314	3591
268	1317	3579
269	1319	3567
270	1321	3555
271	1324	3543
272	1326	3532
273	1328	3521
274	1331	3509
275	1333	3498
276	1335	3486
277	1338	3475
278	1340	3464
279	1342	3452
280	1344	3441
281	1347	3429
282	1349	3418
283	1351	3406
284	1353	3394
285	1355	3383
286	1357	3372
287	1359	3360
288	1361	3349
289	1363	3337
290	1365	3326
291	1367	3315
292	1369	3304
293	1371	3293
294	1373	3283
295	1375	3272
296	1377	3261
297	1379	3250
298	1381	3239
299	1383	3229
300	1386	3218
301	1388	3208
302	1389	3197
303	1392	3186
304	1394	3176
305	1396	3166
306	1398	3155
307	1400	3145
308	1401	3135
309	1403	3125
310	1405	3114
311	1407	3104
312	1409	3094
313	1411	3084
314	1414	3074
315	1416	3065
316	1418	3055
317	1420	3045
318	1422	3035
319	1424	3026
320	1426	3016
321	1428	3006
322	1430	2997
323	1432	2988
324	1434	2979
325	1436	2969
326	1438	2960
327	1440	2951
328	1442	2941
329	1444	2932
330	1446	2923
331	1448	2914
332	1450	2905
333	1452	2896
334	1454	2887
335	1456	2878
336	1458	2869
337	1460	2861
338	1463	2852
339	1465	2844
340	1467	2835
341	1469	2827
342	1471	2818
343	1473	2810
344	1476	2802
345	1478	2794
346	1480	2786
347	1482	2778
348	1484	2769
349	1486	2761
350	1489	2753
351	1491	2745
352	1493	2737
353	1495	2729
354	1497	2721
355	1499	2713
356	1502	2705
357	1504	2697
358	1506	2689
359	1508	2681
360	1510	2673
361	1512	2665
362	1514	2658
363	1516	2650
364	1518	2642
365	1521	2634
366	1523	2627
367	1525	2619
368	1527	2611
369	1529	2604
370	1531	2596
371	1533	2589
372	1535	2581
373	1538	2574
374	1540	2566
375	1542	2559
376	1544	2552
377	1546	2545
378	1548	2537
379	1550	2530
380	1553	2523
381	1555	2515
382	1557	2508
383	1559	2501
384	1561	2494
385	1563	2487
386	1565	2480
387	1568	2473
388	1570	2466
389	1572	2459
390	1574	2452
391	1576	2445
392	1578	2438
393	1580	2431
394	1582	2424
395	1584	2417
396	1586	2410
397	1588	2403
398	1590	2396
399	1592	2389
400	1594	2382
401	1596	2375
402	1598	2368
403	1600	2361
404	1603	2355
405	1604	2348
406	1606	2341
407	1608	2334
408	1610	2327
409	1612	2320
410	1614	2314
411	1616	2307
412	1618	2300
413	1620	2294
414	1622	2287
415	1624	2281
416	1626	2274
417	1628	2267
418	1630	2261
419	1633	2255
420	1635	2248
421	1637	2242
422	1639	2235
423	1641	2229
424	1643	2223
425	1645	2216
426	1647	2210
427	1649	2204
428	1651	2198
429	1653	2191
430	1655	2185
431	1657	2179
432	1659	2172
433	1661	2166
434	1663	2160
435	1665	2154
436	1668	2149
437	1670	2143
438	1672	2137
439	1675	2131
440	1677	2126
441	1679	2120
442	1681	2114
443	1684	2108
444	1686	2103
445	1688	2097
446	1691	2092
447	1693	2086
448	1696	2081
449	1698	2075
450	1700	2070
451	1703	2064
452	1705	2059
453	1707	2053
454	1709	2048
455	1712	2042
456	1714	2037
457	1717	2031
458	1719	2026
459	1721	2021
460	1724	2015
461	1726	2010
462	1728	2004
463	1731	1999
464	1733	1994
465	1735	1988
466	1737	1983
467	1740	1978
468	1742	1972
469	1744	1967
470	1747	1962
471	1749	1956
472	1751	1951
473	1754	1946
474	1756	1941
475	1758	1936
476	1761	1931
477	1763	1925
478	1765	1920
479	1768	1915
480	1770	1910
481	1772	1904
482	1774	1899
483	1777	1894
484	1779	1889
485	1781	1884
486	1783	1878
487	1786	1873
488	1788	1868
489	1790	1863
490	1792	1858
491	1795	1853
492	1797	1848
493	1799	1843
494	1801	1838
495	1804	1833
496	1806	1828
497	1808	1823
498	1811	1818
499	1813	1813
500	1816	1809
501	1818	1804
502	1820	1799
503	1823	1794
504	1825	1788
505	1827	1783
506	1829	1778
507	1831	1773
508	1833	1768
509	1835	1763
510	1838	1758
511	1840	1753
512	1842	1748
513	1844	1743
514	1846	1738
515	1848	1733
516	1850	1728
517	1852	1723
518	1854	1718
519	1856	1714
520	1859	1709
521	1861	1704
522	1863	1699
523	1865	1695
524	1868	1690
525	1870	1685
526	1872	1680
527	1874	1675
528	1876	1671
529	1879	1666
530	1881	1661
531	1883	1656
532	1885	1652
533	1887	1647
534	1889	1642
535	1892	1637
536	1894	1633
537	1896	1628
538	1898	1624
539	1901	1619
540	1903	1614
541	1905	1610
542	1907	1605
543	1909	1600
544	1911	1596
545	1913	1591
